Brand Name,Owner,Female,POC,Year Founded,Product Types,Number of Products,Number of Clean,Percent Clean
Acqua di Parma,Laura Burdese,TRUE,FALSE,1916,"Fragrance, Bath & Body",37,0,0.00
adwoa beauty,Julian Addo,TRUE,TRUE,2017,Hair,14,13,0.93
AERIN,Aerin Lauder,TRUE,FALSE,2012,Fragrance,19,0,0.00
Algenist,Harrison Dillon and Jonathan Wolfson,FALSE,FALSE,2011,"Skincare,Bath & Body, Makeup",38,0,0.00
Alpha-H,Michelle Doherty,TRUE,FALSE,1995,Skincare,10,0,0.00
alpyn beauty,Kendra Kolb Butler,TRUE,FALSE,2015,Skincare,9,9,1.00
ALTERNA Haircare,Joan Malloy,TRUE,TRUE,1997,Hair,45,0,0.00
amika,Vita Raykhman,TRUE,TRUE,2007,Hair,60,0,0.00
AMOREPACIFIC,Suh Kyung-bae,FALSE,TRUE,1997,"Skincare, Makeup",15,0,0.00
Anastasia Beverly Hills,Anastasia Soare,TRUE,FALSE,1997,"Skincare, Makeup",88,0,0.00
Aquis,Britta Cox,TRUE,FALSE,1990,"Hair, Tools & Brushes",5,0,0.00
Armani Beauty,Giorgio Armani,FALSE,FALSE,2000,"Fragrance, Makeup, Skincare, Bath & Body",69,0,0.00
Artist Couture,Angel Merino,FALSE,TRUE,2014,"Makeup, Bath & Body",14,0,0.00
Atelier Cologne,Sylvie Ganter and Christophe Cervasel,TRUE,FALSE,2009,"Fragrance, Bath & Body",15,0,0.00
Athr Beauty,Tiila Abbitt,TRUE,FALSE,2018,"Makeup, Bath & Body",7,0,0.00
Augustinus Bader,Charles Rosier,FALSE,FALSE,2018,"Skincare, Hair, Bath & Body",11,0,0.00
bareMinerals,Diane Richardson,TRUE,FALSE,1976,"Makeup, Skincare, Bath & Body, Tools & Brushes",25,0,0.00
The Beauty Chef,Carla Oates,TRUE,FALSE,2009,"Skincare, Bath & Body",8,0,0.00
BeautyBio,Jamie O'Banion,TRUE,FALSE,2011,"Skincare, Hair, Tools & Brushes, Bath & Body, Makeup",29,0,0.00
beautyblender,Rea Ann Silva,TRUE,FALSE,2003,"Makeup, Tools & Brushes",29,0,0.00
belif,LG,FALSE,FALSE,2012,"Skincare, Makeup",26,0,0.00
Benefit Cosmetics,Jean and Jane Ford,TRUE,FALSE,1976,"Makeup, Tools & Brushes",72,0,0.00
BERDOUES,Guillaume Berdoues,FALSE,FALSE,1902,Fragrance,3,0,0.00
Better Not Younger,Sonsoles Gonzalez,TRUE,TRUE,2019,"Hair, Bath & Body",15,0,0.00
Bio Ionic,Fernando Romero,FALSE,FALSE,1997,"Hair, Tools & Brushes",15,0,0.00
Biossance,Caroline Hadfield,TRUE,FALSE,2016,"Skincare, Hair, Bath & Body, Makeup",25,0,0.00
Bite Beauty,Susanne Langmuir,TRUE,FALSE,2012,"Makeup, Skincare",17,0,0.00
Blinc,Suma and Lewis Farsedakis,FALSE,FALSE,1999,Makeup,17,17,1.00
Bobbi Brown,Bobbi Brown,TRUE,FALSE,1991,"Makeup, Skincare,Tools & Brushes, Fragrance",47,0,0.00
BREAD BEAUTY SUPPLY,Maeva Heim,TRUE,TRUE,2020,"Hair, Skincare,Tools & Brushes",12,0,0.00
Briogeo,Nancy Twine,TRUE,TRUE,2013,"Hair, Skincare, Bath & Body,Tools & Brushes",59,0,0.00
Bumble and bumble,Michael Gordon,FALSE,FALSE,1977,Hair,110,0,0.00
BURBERRY,Thomas Burberry,FALSE,FALSE,1856,Fragrance,26,0,0.00
Buxom,Jill Scalamandre,TRUE,FALSE,2007,"Makeup, Skincare",9,0,0.00
By Rosie Jane,Rosie Jane Johnston,TRUE,FALSE,2012,"Fragrance, Bath & Body",32,0,0.00
caliray﻿NEW,Wende Zomnir,TRUE,FALSE,1996,Makeup,5,0,0.00
Calvin Klein,Calvin Klein,FALSE,FALSE,1978,Fragrance,7,0,0.00
Capri Blue,Castanea Partners,FALSE,FALSE,2012,"Fragrance, Hair, Makeup, Skincare, Bath & Body",24,0,0.00
Carolina Herrera,Antonio Puig,FALSE,FALSE,1980,Fragrance,9,0,0.00
Caudalie,Mathilde Thomas,TRUE,FALSE,1995,"Skincare,Bath & Body, Makeup",42,0,0.00
CHANEL,Alain and Gerard Wertheimer,FALSE,FALSE,1921,"Fragrance, Bath & Body",46,0,0.00
Charlotte Tilbury,Charlotte Tilbury,TRUE,FALSE,2013,"Makeup, Skincare, Bath & Body, Tools & Brushes",112,0,0.00
Chloé,Gaby Aghion,TRUE,FALSE,1988,"Fragrance, Bath & Body",21,0,0.00
Christian Louboutin,Antonio Puig,FALSE,FALSE,2014,Makeup,5,0,0.00
Christophe Robin,Matthew Moulding,FALSE,FALSE,1999,"Hair, Tools & Brushes",33,0,0.00
Ciaté London,Charlotte Knight,TRUE,FALSE,2009,"Makeup, Skincare,Tools & Brushes",12,0,0.00
Cinema Secrets,Maurice Stein,FALSE,FALSE,1985,"Makeup, Bath & Body, Tools & Brushes",8,0,0.00
Clarins,Jacques Courtin,FALSE,FALSE,1954,"Skincare,Bath & Body, Makeup",53,0,0.00
CLEAN RESERVE,Randi Shinder,TRUE,FALSE,2003,Fragrance,20,0,0.00
CLINIQUE,Evelyn Lauder,TRUE,FALSE,1968,"Skincare, Makeup, Bath & Body, Fragrance, Tools & Brushes",195,0,0.00
COACH, Antoine Maisondieu,TRUE,FALSE,2020,Fragrance,2,0,0.00
COLOR WOW,Gail Federici,FALSE,FALSE,2013,Hair,26,0,0.00
COOLA,Chris Birchby,FALSE,FALSE,2007,"Skincare,Bath & Body, Makeup",15,0,0.00
Crown Affair﻿NEW,Dianna Cohen,TRUE,FALSE,2019,"Hair, Tools & Brushes",10,0,0.00
dae,Amber Fillerup Clark,TRUE,FALSE,2013,"Hair, Tools & Brushes, Fragrance",13,0,0.00
DAMDAM,Giselle Go and Philippe Terrien,TRUE,TRUE,2011,"Skincare, Makeup",5,0,0.00
