Brands,Owner,Female,POC,Year Founded,Product Type,Number of Products
"
										Ace Beauté
								",Niye Aniekan-Attang,TRUE,TRUE,2015,,11
"
										ACURE
								",Jon and Kristy Guerra,TRUE,FALSE,2010,"Skin Care ,Hair ,Bath & Body",46
"
										AG Hair
								",John and Lotte Davis,TRUE,FALSE,1989,"Hair ,Bath & Body",48
"Ahava	",Ziva Gilad,TRUE,FALSE,1988,"Bath & Body ,Men ,Gifts ,Skin Care",55
"
										Alleyoop
								",Leila Kashani Manshoory,TRUE,FALSE,2015,"Skin Care ,Bath & Body",4
AllSaints,Kait Bolongaro and Stuart Trevor,TRUE,FALSE,1994,,3
"
										Almay
								",Alfred Woititz,FALSE,FALSE,1931,"Makeup ,Skin Care ",13
"
										Alpha Skin Care
								",Michelle Doherty,TRUE,FALSE,1995,"Skin Care ,Bath & Body",8
"
										Alterna
								",Daniel Buchbinder,FALSE,FALSE,1997,"Hair ,Gifts",66
"
										American Crew
								",David Raccuglia,FALSE,FALSE,1994,"Men ,Hair ,Bath & Body ,Skin Care ,Gifts",37
"
										Anastasia Beverly Hills
								",Anastasia Soare,TRUE,FALSE,1997,"Makeup ,Gifts ,Tools & Brushes ,Skin Care",66
"
										Andalou Naturals
								",Stacey Kelly Egide and Mark Egide,TRUE,FALSE,2010,"Skin Care ,Gifts ,Bath & Body",33
"
										Aquage
								",Dennis Lubin and Luis Alvarez,FALSE,FALSE,1998,"Styling Products ,Shampoo & Conditioner ,Travel Size ,Treatment",37
"
										Aquaphor
								",Herman A. Metz,FALSE,FALSE,1925,"Skin Care ,Bath & Body ,Men",4
"
										Aquis
								",Britta Cox,TRUE,FALSE,1990,,5
"
										ARCONA
								",Chanel Jenae,TRUE,FALSE,1989,"Skin Care ,Gifts",17
"
										Arctic Fox
								",Kristen Leanne and Ryan Morgan,TRUE,FALSE,2014,"Hair ,Skin Care ,Fragrance ,Bath & Body",10
"
										Ardell
								",Arnold and Sydell Miller,TRUE,FALSE,1971,"Makeup ,Tools & Brushes, Nails",115
"
										Ariana Grande
								",Ariana Grande,TRUE,FALSE,2015,"Fragrance ,Gifts",15
"
										ARMANI
								",Giorgio Armani and Sergio Galeotti,FALSE,FALSE,1975,"Fragrance ,Men ,Gifts ",32
"
										ArtNaturals LUXE
								",Joseph Nourollah,FALSE,FALSE,2014,"Skin Care ,Bath & Body",21
