,Brand Name,Owner,Female,POC,Year Founded,Product Types,Number of Products,Number of Clean,Percent Clean,Clean
0,Acqua di Parma,Laura Burdese,True,False,1916,"Fragrance, Bath & Body",37,0,0.0,False
1,adwoa beauty,Julian Addo,True,True,2017,Hair,14,13,0.93,True
2,AERIN,Aerin Lauder,True,False,2012,Fragrance,19,0,0.0,False
3,Algenist,Harrison Dillon and Jonathan Wolfson,False,False,2011,"Skincare,Bath & Body, Makeup",38,0,0.0,False
4,Alpha-H,Michelle Doherty,True,False,1995,Skincare,10,0,0.0,False
5,alpyn beauty,Kendra Kolb Butler,True,False,2015,Skincare,9,9,1.0,True
6,ALTERNA Haircare,Joan Malloy,True,True,1997,Hair,45,0,0.0,False
7,amika,Vita Raykhman,True,True,2007,Hair,60,0,0.0,False
8,AMOREPACIFIC,Suh Kyung-bae,False,True,1997,"Skincare, Makeup",15,0,0.0,False
9,Anastasia Beverly Hills,Anastasia Soare,True,False,1997,"Skincare, Makeup",88,0,0.0,False
10,Aquis,Britta Cox,True,False,1990,"Hair, Tools & Brushes",5,0,0.0,False
11,Armani Beauty,Giorgio Armani,False,False,2000,"Fragrance, Makeup, Skincare, Bath & Body",69,0,0.0,False
12,Artist Couture,Angel Merino,False,True,2014,"Makeup, Bath & Body",14,0,0.0,False
13,Atelier Cologne,Sylvie Ganter and Christophe Cervasel,True,False,2009,"Fragrance, Bath & Body",15,0,0.0,False
14,Athr Beauty,Tiila Abbitt,True,False,2018,"Makeup, Bath & Body",7,0,0.0,False
15,Augustinus Bader,Charles Rosier,False,False,2018,"Skincare, Hair, Bath & Body",11,0,0.0,False
16,bareMinerals,Diane Richardson,True,False,1976,"Makeup, Skincare, Bath & Body, Tools & Brushes",25,0,0.0,False
17,The Beauty Chef,Carla Oates,True,False,2009,"Skincare, Bath & Body",8,0,0.0,False
18,BeautyBio,Jamie O'Banion,True,False,2011,"Skincare, Hair, Tools & Brushes, Bath & Body, Makeup",29,0,0.0,False
19,beautyblender,Rea Ann Silva,True,False,2003,"Makeup, Tools & Brushes",29,0,0.0,False
20,belif,LG,False,False,2012,"Skincare, Makeup",26,0,0.0,False
21,Benefit Cosmetics,Jean and Jane Ford,True,False,1976,"Makeup, Tools & Brushes",72,0,0.0,False
22,BERDOUES,Guillaume Berdoues,False,False,1902,Fragrance,3,0,0.0,False
23,Better Not Younger,Sonsoles Gonzalez,True,True,2019,"Hair, Bath & Body",15,0,0.0,False
24,Bio Ionic,Fernando Romero,False,False,1997,"Hair, Tools & Brushes",15,0,0.0,False
25,Biossance,Caroline Hadfield,True,False,2016,"Skincare, Hair, Bath & Body, Makeup",25,0,0.0,False
26,Bite Beauty,Susanne Langmuir,True,False,2012,"Makeup, Skincare",17,0,0.0,False
27,Blinc,Suma and Lewis Farsedakis,False,False,1999,Makeup,17,17,1.0,True
28,Bobbi Brown,Bobbi Brown,True,False,1991,"Makeup, Skincare,Tools & Brushes, Fragrance",47,0,0.0,False
29,BREAD BEAUTY SUPPLY,Maeva Heim,True,True,2020,"Hair, Skincare,Tools & Brushes",12,0,0.0,False
30,Briogeo,Nancy Twine,True,True,2013,"Hair, Skincare, Bath & Body,Tools & Brushes",59,0,0.0,False
31,Bumble and bumble,Michael Gordon,False,False,1977,Hair,110,0,0.0,False
32,BURBERRY,Thomas Burberry,False,False,1856,Fragrance,26,0,0.0,False
33,Buxom,Jill Scalamandre,True,False,2007,"Makeup, Skincare",9,0,0.0,False
34,By Rosie Jane,Rosie Jane Johnston,True,False,2012,"Fragrance, Bath & Body",32,0,0.0,False
35,caliray﻿NEW,Wende Zomnir,True,False,1996,Makeup,5,0,0.0,False
36,Calvin Klein,Calvin Klein,False,False,1978,Fragrance,7,0,0.0,False
37,Capri Blue,Castanea Partners,False,False,2012,"Fragrance, Hair, Makeup, Skincare, Bath & Body",24,0,0.0,False
38,Carolina Herrera,Antonio Puig,False,False,1980,Fragrance,9,0,0.0,False
39,Caudalie,Mathilde Thomas,True,False,1995,"Skincare,Bath & Body, Makeup",42,0,0.0,False
40,CHANEL,Alain and Gerard Wertheimer,False,False,1921,"Fragrance, Bath & Body",46,0,0.0,False
41,Charlotte Tilbury,Charlotte Tilbury,True,False,2013,"Makeup, Skincare, Bath & Body, Tools & Brushes",112,0,0.0,False
42,Chloé,Gaby Aghion,True,False,1988,"Fragrance, Bath & Body",21,0,0.0,False
43,Christian Louboutin,Antonio Puig,False,False,2014,Makeup,5,0,0.0,False
44,Christophe Robin,Matthew Moulding,False,False,1999,"Hair, Tools & Brushes",33,0,0.0,False
45,Ciaté London,Charlotte Knight,True,False,2009,"Makeup, Skincare,Tools & Brushes",12,0,0.0,False
46,Cinema Secrets,Maurice Stein,False,False,1985,"Makeup, Bath & Body, Tools & Brushes",8,0,0.0,False
47,Clarins,Jacques Courtin,False,False,1954,"Skincare,Bath & Body, Makeup",53,0,0.0,False
48,CLEAN RESERVE,Randi Shinder,True,False,2003,Fragrance,20,0,0.0,False
49,CLINIQUE,Evelyn Lauder,True,False,1968,"Skincare, Makeup, Bath & Body, Fragrance, Tools & Brushes",195,0,0.0,False
50,COACH, Antoine Maisondieu,True,False,2020,Fragrance,2,0,0.0,False
51,COLOR WOW,Gail Federici,False,False,2013,Hair,26,0,0.0,False
52,COOLA,Chris Birchby,False,False,2007,"Skincare,Bath & Body, Makeup",15,0,0.0,False
