,Brands,Owner,Female,POC,Year Founded,Product Type,Number of Products,Clean Brand
0,Ace Beauté,Niye Aniekan-Attang,True,True,2015,,11,False
1,ACURE,Jon and Kristy Guerra,True,False,2010,"Skin Care ,Hair ,Bath & Body",46,True
2,AG Hair,John and Lotte Davis,True,False,1989,"Hair ,Bath & Body",48,False
3,Ahava	,Ziva Gilad,True,False,1988,"Bath & Body ,Men ,Gifts ,Skin Care",55,False
4,Alleyoop,Leila Kashani Manshoory,True,False,2015,"Skin Care ,Bath & Body",4,False
5,AllSaints,Kait Bolongaro and Stuart Trevor,True,False,1994,,3,False
6,Almay,Alfred Woititz,False,False,1931,"Makeup ,Skin Care ",13,False
7,Alpha Skin Care,Michelle Doherty,True,False,1995,"Skin Care ,Bath & Body",8,False
8,Alterna,Daniel Buchbinder,False,False,1997,"Hair ,Gifts",66,False
9,American Crew,David Raccuglia,False,False,1994,"Men ,Hair ,Bath & Body ,Skin Care ,Gifts",37,False
10,Anastasia Beverly Hills,Anastasia Soare,True,False,1997,"Makeup ,Gifts ,Tools & Brushes ,Skin Care",66,False
11,Andalou Naturals,Stacey Kelly Egide and Mark Egide,True,False,2010,"Skin Care ,Gifts ,Bath & Body",33,False
12,Aquage,Dennis Lubin and Luis Alvarez,False,False,1998,"Styling Products ,Shampoo & Conditioner ,Travel Size ,Treatment",37,False
13,Aquaphor,Herman A. Metz,False,False,1925,"Skin Care ,Bath & Body ,Men",4,False
14,Aquis,Britta Cox,True,False,1990,,5,False
15,ARCONA,Chanel Jenae,True,False,1989,"Skin Care ,Gifts",17,False
16,Arctic Fox,Kristen Leanne and Ryan Morgan,True,False,2014,"Hair ,Skin Care ,Fragrance ,Bath & Body",10,False
17,Ardell,Arnold and Sydell Miller,True,False,1971,"Makeup ,Tools & Brushes, Nails",115,False
18,Ariana Grande,Ariana Grande,True,False,2015,"Fragrance ,Gifts",15,False
19,ARMANI,Giorgio Armani and Sergio Galeotti,False,False,1975,"Fragrance ,Men ,Gifts ",32,False
20,ArtNaturals LUXE,Joseph Nourollah,False,False,2014,"Skin Care ,Bath & Body",21,False
21,Au Naturale,Ashley Prange,True,False,2011,"Makeup ,Gifts",11,True
22,Australian Glow,Liz Agresta,True,False,2019,,7,False
23,Australian Gold,Trevor Gray,False,False,1985,"Skin Care ,Bath & Body",3,True
24,Aveeno,Albert Musher and Sidney Musher,True,False,1945,"Skin Care ,Bath & Body ,Men ,Makeup",24,False
25,Avène,Pierre Fabre,False,False,1962,"Skin Care ,Bath & Body ,Makeup ,Gifts",40,False
26,Awake Beauty,Maureen Kelly,True,False,2018,"Moisturizers ,Treatment & Serums ,Travel Size ,Cleansers ,Eye Treatments",9,False
27,AXIOLOGY,Ericka Rodriguez,True,True,2013,"Makeup ,Gifts",8,True
28,Azzaro,Loris Azzaro,False,False,1967,"Fragrance ,Men",9,False
29,B.Bungalow by Beachwaver Co.,Sarah Potempa,True,False,2010,,2,False
30,b.tan,Melissa Keclik,True,False,1986,"Skin Care ,Bath & Body",12,False
31,Babo Botanicals,Kate Solomon,True,False,2008,"Bath & Body ,Hair ,Skin Care ,Makeup",24,False
32,Baby Foot,James Morris,False,False,1997,"Gifts ,Men",3,False
33,BaBylissPRO,René Lelièvre,False,False,1961,"Hair ,Tools & Brushes ,Gifts",32,False
34,BAD HABIT,Emma Chamberlain,True,False,2020,"Skin Care ,Gifts",18,True
35,Bali Body,Dave and Laura Oosterloo,True,False,2014,,8,False
36,Banila Co,F&F,False,True,2005,"Skin Care ,Makeup ,Gifts ,Men",26,False
37,Barefoot Scientist,Dana Ward,True,False,2019,"Bath & Body ,Nails ,Gifts",10,False
38,bareMinerals,Diane Richardson,True,False,1976,"Makeup, Skin Care, Gifts, Tools & Brushes",91,False
39,basd,Ashley Meston,True,False,2017,"Bath & Body ,Men ,Gifts",8,True
40,Batiste,John Dwight,False,False,1975,"Hair ,Gifts",28,False
41,BAUBLEBAR,Amy Jain and Daniella Yacobovsky,True,True,2010,"Tools & Brushes ,Hair",29,False
42,Baxter of California,Baxter Finley,False,False,1965,"Men ,Hair ,Skin Care ,Bath & Body ,Fragrance",10,False
43,Beachwaver Co.,"Sarah Potempa, Erin Potempa-Wall, and Emily Potempa",True,False,2010,"Hair ,Tools & Brushes ,Gifts",11,False
44,Beast,John Cascarano,False,False,2013,"Men ,Bath & Body ,Skin Care ,Hair ,Gifts ,Fragrance",20,False
45,Beauty Bakerie,Cashmere Nicole,True,True,2011,"Makeup ,Gifts ,Tools & Brushes ,Skin Care",30,False
46,Beauty Finds by ULTA Beauty,Jamie O'Banion,True,False,2011,"Gifts ,Hair ,Fragrance",2,False
47,BeautyBio,Rea Ann Silva,True,False,2003,"Skin Care ,Tools & Brushes ,Hair ,Gifts ,Bath & Body",27,False
48,beautyblender,Nonie Crème,True,False,2016,"Makeup ,Tools & Brushes ,Gifts",19,False
49,BeautyGARDE,Ron Robinson,False,True,2019,"Eyelashes ,Lash Primer & Serums ,Eye Makeup Remover",6,False
50,BeautyStat Cosmetics,Anthony Mascolo,False,False,1996,"Skin Care ,Gifts",7,False
51,Bed Head,Josh Kilmer-Purcell and Brent Ridge,False,False,2008,"Hair ,Tools & Brushes ,Gifts",65,False
52,Beekman 1802,LG,False,False,2012,"Skin Care ,Bath & Body ,Makeup ,Tools & Brushes ,Nails ,Hair ,Gifts",35,True
53,belif,Elliott Evalle,False,False,2021,"Skin Care ,Gifts ,Bath & Body",14,False
54,Belli,Remo Belli,False,False,2020,"Skin Care ,Bath & Body ,Gifts",8,False
55,Benefit Cosmetics,Jean and Jane Ford,True,False,1976,"
Makeup, Gifts, Skin Care, Tools & Brushes",68,False
56,Better Not Younger,Sonsoles Gonzalez,True,False,2019,"Hair ,Skin Care ,Makeup ,Gifts ,Bath & Body ,Tools & Brushes",20,True
57,BH Cosmetics,Kirill Trachtenberg,False,False,2009,"Makeup ,Gifts ,Tools & Brushes ,Skin Care",43,True
58,Bic,Marcel Bich,False,False,1945,"Bath & Body ,Men ,Tools & Brushes ,Makeup",9,False
